x,y
0.0720376,0.221381067
0.058398649,0.24065473
0.064184457,0.229640274
0.076806009,0.230121658
0.073072657,0.235259831
0.07064053,0.229773075
0.048279513,0.270236579
0.049115359,0.245176393
0.043667391,0.255978852
0.063051153,0.250294758
0.054370789,0.264563296
0.0579757,0.278009583
0.037176407,0.260527888
0.074941076,0.262401247
0.040604012,0.263890693
0.081601266,0.283856256
0.06808008,0.286576431
0.064679956,0.281133839
0.045080055,0.286965664
0.0609411,0.282631666
0.071467858,0.28021192
0.075961755,0.289580625
0.061003152,0.302043444
0.077898226,0.299380193
0.066779226,0.284582926
0.08055113,0.313324811
0.072830154,0.288407676
0.100446567,0.291583633
0.073617934,0.299376032
0.077234953,0.2942013
0.079232955,0.305190208
0.089640831,0.30732833
0.084529,0.28091676
0.073359874,0.312450603
0.057482985,0.291758756
0.104432663,0.281655271
0.082868032,0.281625712
0.087855607,0.264087372
0.091602568,0.291811195
0.079638175,0.287639601
0.091545421,0.27977142
0.101546201,0.272951439
0.071163671,0.27771864
0.076769879,0.263621353
0.067668458,0.265437288
0.091679782,0.237880954
0.088773256,0.227518996
0.080508034,0.237783588
0.091539869,0.240285502
0.087885082,0.236212833
0.102913916,0.222510683
0.096750841,0.232366654
0.074144048,0.230797024
0.089514213,0.229754453
0.095811411,0.227965536
0.09259808,0.213534456
0.072242802,0.211364476
0.070257881,0.219884796
0.048570347,0.220941276
0.075020686,0.206074739
0.065338872,0.199941248
0.053794755,0.215339732
0.063033408,0.214086185
0.043601657,0.207218643
0.068140442,0.244006655
0.037955265,0.229265687
0.052616836,0.237444187
0.044634141,0.232554421
0.049597295,0.238729165
0.058530189,0.213488536
0.051274658,0.236927547
0.036553127,0.220469083
0.037501032,0.237591864
0.035037901,0.229898719
0.015717973,0.24632606
0.026426045,0.24092164
0.032942177,0.247599072
0.027990245,0.247680035
0.024531433,0.255505992
0.031905019,0.253820209
0.028758172,0.279747852
0.01219395,0.27707206
0.021534005,0.290950637
0.028141988,0.278092567
0.015123736,0.287148974
0.035417957,0.326462543
0.014109018,0.306479171
0.03889431,0.30397514
0.044108411,0.309082904
0.043027203,0.303218322
0.05105007,0.331137761
0.072157809,0.334992881
0.048906864,0.328846334
0.051860965,0.321539979
0.054682764,0.318444782
0.081454856,0.328234554
0.075840173,0.341026514
0.073467338,0.336480611
0.075204508,0.333197214
0.073211929,0.316047617
0.12742602,0.318962348
0.120545739,0.322760078
0.122162454,0.303580574
0.09515447,0.318396353
0.107738763,0.317429529
0.150162453,0.268851001
0.149570135,0.283902895
0.161100063,0.283615826
0.138114702,0.297242979
0.158135972,0.285835279
0.158045178,0.257188818
0.144331171,0.276399753
0.169782594,0.256175217
0.156571426,0.273476473
0.154053386,0.261596401
0.165634558,0.232181492
0.159222808,0.239016827
0.151188483,0.231317711
0.168451015,0.229470832
0.165981395,0.26041489
0.159832926,0.203785944
0.138840469,0.223817245
0.143378,0.221130296
0.1366327,0.201909035
0.135832641,0.220368729
0.130187725,0.195757512
0.138173897,0.191781618
0.119509145,0.216359815
0.121993179,0.177448462
0.118336111,0.2066666
0.10915847,0.196371354
0.087786174,0.193363157
0.114336393,0.176058025
0.11382002,0.185711041
0.104909917,0.199880071
0.103489428,0.198879683
0.08759784,0.197630314
0.096824131,0.201851397
0.094593359,0.207633642
0.09286743,0.211593614
0.086814115,0.224665431
0.099041992,0.212887935
0.079707992,0.206495544
0.072672442,0.201132813
0.082942676,0.204341918
0.076105325,0.230055342
0.087340467,0.233051841
0.099439993,0.23420471
0.058862591,0.233472122
0.087470715,0.215912967
